id,amis,chinese,sound,image
TITLE,南勢阿美語 訊息問句(問關係、動植物、物品) 1_1到1_15,,,
sentence1,A: Cima kira vavainayan? B: U pasevanaay nu maku cira.,A: 那個男人是誰？ B: 他是我的老師。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/choice_one/info_relation_animals_objects/nanshi/1_1.mp3,https://klokah.tw/extension/sp_senior/graphics_100x100/choiceOne/1_1.png
sentence2,A: Cima kira vavahiyan? B: U pasevanaay nu maku cira.,A: 那個女人是誰？ B: 她是我的老師。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/choice_one/info_relation_animals_objects/nanshi/1_2.mp3,https://klokah.tw/extension/sp_senior/graphics_100x100/choiceOne/1_2.png
sentence3,A: Cima kira vavainayan? B: U kaka nu maku tu vavainayan cira.,A: 那個男人是誰？ B: 他是我的哥哥。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/choice_one/info_relation_animals_objects/nanshi/1_3.mp3,https://klokah.tw/extension/sp_senior/graphics_100x100/choiceOne/1_3.png
sentence4,A: Cima kira vavahiyan? B: U kaka nu maku tu vavahiyan cira.,A: 那個女人是誰？ B: 她是我的姊姊。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/choice_one/info_relation_animals_objects/nanshi/1_4.mp3,https://klokah.tw/extension/sp_senior/graphics_100x100/choiceOne/1_4.png
sentence5,A: U maan kiniyan? B: U edu’ kiniyan.,A: 這是什麼？ B: 這是老鼠。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/choice_one/info_relation_animals_objects/nanshi/1_5.mp3,https://klokah.tw/extension/sp_senior/graphics_100x100/choiceOne/1_5.png
sentence6,A: U maan kiniyan? B: U rarapa kiniyan.,A: 這是什麼？ B: 這是牛。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/choice_one/info_relation_animals_objects/nanshi/1_6.mp3,https://klokah.tw/extension/sp_senior/graphics_100x100/choiceOne/1_6.png
sentence7,A: U maan kiniyan? B: U tatakula’ kiniyan.,A: 這是什麼？ B: 這是青蛙。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/choice_one/info_relation_animals_objects/nanshi/1_7.mp3,https://klokah.tw/extension/sp_senior/graphics_100x100/choiceOne/1_7.png
sentence8,A: U maan kiniyan? B: U tuul kiniyan.,A: 這是什麼？ B: 這是貓頭鷹。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/choice_one/info_relation_animals_objects/nanshi/1_8.mp3,https://klokah.tw/extension/sp_senior/graphics_100x100/choiceOne/1_8.png
sentence9,A: U maan saw kiraan? B: U kilang kiraan.,A: 那是什麼呢？ B: 那是樹。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/choice_one/info_relation_animals_objects/nanshi/1_9.mp3,https://klokah.tw/extension/sp_senior/graphics_100x100/choiceOne/1_9.png
sentence10,A: U maan saw kiraan? B: U varu kiraan.,A: 那是什麼呢？ B: 那是花。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/choice_one/info_relation_animals_objects/nanshi/1_10.mp3,https://klokah.tw/extension/sp_senior/graphics_100x100/choiceOne/1_10.png
sentence11,A: U maan saw kiraan? B: U kama kiraan.,A: 那是什麼呢？ B: 那是橘子。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/choice_one/info_relation_animals_objects/nanshi/1_11.mp3,https://klokah.tw/extension/sp_senior/graphics_100x100/choiceOne/1_11.png
sentence12,A: U maan saw kiraan? B: U taviras kiraan.,A: 那是什麼呢？ B: 那是玉米。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/choice_one/info_relation_animals_objects/nanshi/1_12.mp3,https://klokah.tw/extension/sp_senior/graphics_100x100/choiceOne/1_12.png
sentence13,A: U maan saw kiraan? B: U sapad kiraan.,A: 那是什麼呢？ B: 那是桌子。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/choice_one/info_relation_animals_objects/nanshi/1_13.mp3,https://klokah.tw/extension/sp_senior/graphics_100x100/choiceOne/1_13.png
sentence14,A: U maan saw kiraan? B: U pida kiraan.,A: 那是什麼呢？ B: 那是錢。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/choice_one/info_relation_animals_objects/nanshi/1_14.mp3,https://klokah.tw/extension/sp_senior/graphics_100x100/choiceOne/1_14.png
sentence15,A: U maan saw kiraan? B: U tuper kiraan.,A: 那是什麼呢？ B: 那是帽子。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/choice_one/info_relation_animals_objects/nanshi/1_15.mp3,https://klokah.tw/extension/sp_senior/graphics_100x100/choiceOne/1_15.png
