id,amis,chinese,sound,image
TITLE,恆春阿美語 訊息問句(問關係、動植物、物品) 1_1到1_15,,,
sentence1,A: Cima kora fa'inayan ? B: O singsi ako cingra.,A: 那個男人是誰？ B: 他是我的老師。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/choice_one/info_relation_animals_objects/hengchun/1_1.mp3,https://klokah.tw/extension/sp_senior/graphics_100x100/choiceOne/1_1.png
sentence2,A: Cima kora fafahiyan ? B: O singsi ako cingra.,A: 那個女人是誰？ B: 她是我的老師。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/choice_one/info_relation_animals_objects/hengchun/1_2.mp3,https://klokah.tw/extension/sp_senior/graphics_100x100/choiceOne/1_2.png
sentence3,A: Cima kora fa'inayan ? B: O fa'inayan a kaka ako cingra.,A: 那個男人是誰？ B: 他是我的哥哥。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/choice_one/info_relation_animals_objects/hengchun/1_3.mp3,https://klokah.tw/extension/sp_senior/graphics_100x100/choiceOne/1_3.png
sentence4,A: Cima kora fafahiyan ? B: O fafahiyan a kaka ako cingra.,A: 那個女人是誰？ B: 她是我的姊姊。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/choice_one/info_relation_animals_objects/hengchun/1_4.mp3,https://klokah.tw/extension/sp_senior/graphics_100x100/choiceOne/1_4.png
sentence5,A: O maan konian ? B: O ^edo konian.,A: 這是什麼？ B: 這是老鼠。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/choice_one/info_relation_animals_objects/hengchun/1_5.mp3,https://klokah.tw/extension/sp_senior/graphics_100x100/choiceOne/1_5.png
sentence6,A: O maan konian? B: O kolong konian.,A: 這是什麼？ B: 這是牛。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/choice_one/info_relation_animals_objects/hengchun/1_6.mp3,https://klokah.tw/extension/sp_senior/graphics_100x100/choiceOne/1_6.png
sentence7,A: O maan konian? B: O takora' konian.,A: 這是什麼？ B: 這是青蛙。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/choice_one/info_relation_animals_objects/hengchun/1_7.mp3,https://klokah.tw/extension/sp_senior/graphics_100x100/choiceOne/1_7.png
sentence8,A: O maan konian? B: O ^ekong konian.,A: 這是什麼？ B: 這是貓頭鷹。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/choice_one/info_relation_animals_objects/hengchun/1_8.mp3,https://klokah.tw/extension/sp_senior/graphics_100x100/choiceOne/1_8.png
sentence9,A: O maan koraan? B: O kilang koraan.,A: 那是什麼？ B: 那是樹。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/choice_one/info_relation_animals_objects/hengchun/1_9.mp3,https://klokah.tw/extension/sp_senior/graphics_100x100/choiceOne/1_9.png
sentence10,A: O maan koraan? B: O hana koraan.,A: 那是什麼？ B: 那是花。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/choice_one/info_relation_animals_objects/hengchun/1_10.mp3,https://klokah.tw/extension/sp_senior/graphics_100x100/choiceOne/1_10.png
sentence11,A: O maan koraan? B: O 'asilo koraan.,A: 那是什麼？ B: 那是橘子。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/choice_one/info_relation_animals_objects/hengchun/1_11.mp3,https://klokah.tw/extension/sp_senior/graphics_100x100/choiceOne/1_11.png
sentence12,A: O maan koraan? B: O 'ariray koraan.,A: 那是什麼？ B: 那是玉米。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/choice_one/info_relation_animals_objects/hengchun/1_12.mp3,https://klokah.tw/extension/sp_senior/graphics_100x100/choiceOne/1_12.png
sentence13,A: O maan koraan? B: O ^eto koraan.,A: 那是什麼？ B: 那是桌子。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/choice_one/info_relation_animals_objects/hengchun/1_13.mp3,https://klokah.tw/extension/sp_senior/graphics_100x100/choiceOne/1_13.png
sentence14,A: O maan koraan? B: O payci koraan.,A: 那是什麼？ B: 那是錢。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/choice_one/info_relation_animals_objects/hengchun/1_14.mp3,https://klokah.tw/extension/sp_senior/graphics_100x100/choiceOne/1_14.png
sentence15,A: O maan koraan? B: O kafong koraan,A: 那是什麼？ B: 那是帽子。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/choice_one/info_relation_animals_objects/hengchun/1_15.mp3,https://klokah.tw/extension/sp_senior/graphics_100x100/choiceOne/1_15.png
