"id","amis","chinese","sound","image","sound_a","sound_b","sound_c","sound_d","sound_e"
"TITLE","秀姑巒阿美語 生活百句 否定句 5_1到5_27","","","","","","","",""
"sentence1","A: O ekong kiraan haw ? B: Caay, caayay ko ekong kiraan.","A: 那是貓頭鷹嗎？ B: 不，那不是貓頭鷹。 C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/xiuguluan/5_1.mp3","","","","","",""
"sentence2","A: O singsi ciira haw ? B: Caay, caay ko singsi ciira.","A: 他是老師嗎？ B: 不，他不是老師。 C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/xiuguluan/5_2.mp3","","","","","",""
"sentence3","A: O singsi no miso ciira haw ? B: Caay, caay ko singsi no mako ciira.","A: 她是你的老師嗎？ B: 不，她不是我的老師。 C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/xiuguluan/5_3.mp3","","","","","",""
"sentence4","A: O kahengangay ko fodoy nira haw ? B: Caay, caayay ko kahengangay ko fodoy nira.","A: 她的衣服是紅色的嗎？ B: 不，她的衣服不是紅色的。 C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/xiuguluan/5_4.mp3","","","","","",""
"sentence5","A: Kareteng kora a ’anengang haw ? B: Caay, caay ka kareteng kora ’anengang.","A: 那張椅子很重嗎？ B: 不，那張椅子不重。 C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/xiuguluan/5_5.mp3","","","","","",""
"sentence6","A: Takaraw ci ina no miso haw ? B: Caay, caay ka takaraw ciira.","A: 你媽媽很高嗎？ B: 不，我媽媽不高。 C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/xiuguluan/5_6.mp3","","","","","",""
"sentence7","A: Kakaya’ ko fokes no miso haw ? B: Caay, caay ka kakaya’ ko fokes no mako .","A: 你的頭髮很長嗎？ B: 不，我的頭髮不長。 C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/xiuguluan/5_7.mp3","","","","","",""
"sentence8","A: Malalok kora tamdaw haw ? B: Caay, caay kalalok ciira .","A: 那個人很勤勞嗎？ B: 不，他不勤勞。 C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/xiuguluan/5_8.mp3","","","","","",""
"sentence9","A: Ira ko fa’inayan a safa no miso haw ? B: Awaay, awaay ko fa’inayan a safa no mako.","A: 你有弟弟嗎？ B: 不，我沒有弟弟。 C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/xiuguluan/5_9.mp3","","","","","",""
